country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,,,,,,,,,0.355,,1.69,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,4.23,4.33,5.02,5.66,4.89,4.13,4.3,4.7,5.41,5.01,4.31,4.28,3.81,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,2.05,
Argentina,,,,,,,,,,,,,,,1.92,1.51,1.31,,1.01,1.05,0.965,0.854,0.935,0.876,0.909,,,1.23,1.39,1.52,1.46
Armenia,,,,,,,,,,,,,,,,,,3.13,7.92,,7.27,,6.23,7.98,7.52,6.92,5.08,4.63,5.35,5.12,
Australia,0.954,1.48,1.63,1.64,1.58,1.4,1.43,1.41,1.28,1.13,1.05,1.11,1.12,1.07,0.974,0.932,0.894,0.898,0.851,0.991,1.02,1,1.01,1.05,1.18,1.17,1.11,1.1,1.05,,
Austria,,,,,0.758,0.958,1,1.15,1.14,1.09,0.885,0.781,0.664,0.74,1.12,1.09,1.03,1.05,0.813,0.915,0.871,0.871,0.952,1.07,1.12,1.13,1.24,1.18,0.977,0.853,1.01
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.91,2.93,2.83,2.66,2.61,2.57,2.59,2.61,2.55,2.46,2.38,
Belgium,,,2.32,2.62,3.18,3.2,3.27,3.04,3.12,2.7,2.19,1.55,1.86,1.88,2.04,2.48,2.33,2.14,1.8,1.92,2.2,1.81,1.69,2.05,2.03,2.02,1.95,1.73,1.36,1.11,1.2
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,
Bangladesh,,,,,,,,,,,,,,,,,0.0945,,,,0.975,,,1.15,,,,0.592,,,
Bulgaria,,,,,,,,,,,4.72,5.88,5.49,4.16,3.51,2.83,2.71,2.32,1.68,1.78,2.72,3.01,3.19,3.61,3.31,2.67,2.13,1.8,1.43,1.18,1.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,7.24,6.88,5.51,5.15,6.3,6.07,6.38,6.24,7,6.71,6.46,4.82,4.08,3.43,5.11
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,0.0703,0.836,0.916,0.798,0.686,0.722
Belize,,,,,,,,,,,,,,,,,,,,,,,,1.67,3.19,2.79,2.81,2.39,,,
Bolivia,,,,,,,,,,0.826,1.23,1.23,1,,1.38,1.25,0.887,0.595,0.538,0.593,,0.404,0.407,0.595,0.511,0.55,0.455,0.48,0.487,0.838,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,3.17,2.95,3.08,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.828,,1.1,,,,,
Botswana,,,,,,,4.27,,,,,,,,,,4.8,,,,,,,,,,,,,6.8,7.95
Canada,0.667,0.982,1.18,1.35,1.22,1.04,1.1,0.936,0.752,0.584,0.5,0.445,0.535,0.509,0.492,0.461,0.426,0.342,0.333,0.526,0.713,0.693,0.641,0.661,0.627,0.572,0.556,0.535,0.443,0.38,0.557
Switzerland,,0.281,0.642,1.07,1.08,0.96,1.04,0.938,0.87,1.02,0.622,0.835,0.573,1.1,1.33,1.42,1.39,1.27,1.08,1.18,1.51,1.33,1.25,1.36,1.46,1.43,1.51,1.42,1.53,1.3,1.38
Chile,,,,,,,0.236,,,,0.697,,,0.729,,,0.47,,,0.595,1.08,0.929,0.8,0.586,0.637,0.621,0.733,0.832,0.931,1.02,1.47
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577,0.788,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,1.34,,,,1.21,,,,,,
