country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,17.7,17.7,17.8,17.8,17.8,17.9,17.7,17.5,17.4,17.3,17.2,17.3,17.5,17.7,17.9,18.2,18,17.8,17.7,17.6,17.6,18,18.5,19.6,20.7,22,23.2,24.6,25,25.5
Angola,88,88,88,88.2,88.3,88.3,88.2,88.2,88.3,88.3,88.4,88.4,88.4,88.5,88.5,88.4,88.4,88.3,88.2,88.2,88.2,88.2,88.1,88.1,88.1,88.1,88.2,88.3,88.4,88.5
Albania,69,72.5,73.3,72.3,71.4,70,69,70.2,69.3,68,67.3,66.5,66.1,66.5,66.9,67.3,67.6,67.9,68.3,66.2,68.5,74.3,69.5,65.8,66.2,71.1,72.6,71.4,75.4,77.3
United Arab Emirates,33.9,34.9,35.7,36.7,37.2,37.6,38.2,38.8,39.4,40,40.7,41.2,41.9,42.5,43.1,43.8,45.2,46.6,48,49.4,50.7,52,53.4,54.7,56,57.3,58.6,60,59.2,59.1
Argentina,61.2,62.5,63.7,65,66.1,66.2,67,68,68.6,68.4,68.4,68.1,67,67.7,68.4,67.5,67.7,67.3,66.8,68.1,67.2,67.6,68,67.9,66.7,67.7,68.7,69.6,71.7,72.4
Armenia,60.9,61.1,61.5,61.9,62.4,62.8,63.3,63.6,64,64.3,64.4,64.5,64.4,64.3,64.2,64,63.8,63.6,63,63.6,64.2,67.6,67.3,67.1,66,64,62.6,61.6,57.3,57.2
Australia,66.8,67.1,67.3,67.2,67.8,69,69,69.3,69.3,69.4,70.5,71.1,71.6,72.5,71.9,73.7,74.2,74.8,75.4,75.5,75.2,75.6,75.5,75.8,75.9,76.6,76.9,77.7,78.6,79.3
Austria,63.8,64.9,66.9,68.9,71.7,73.4,73.8,74.2,75.3,76.3,76.8,77,79.3,79.7,78.7,79.5,80.1,80.5,81,82.1,82.4,83.2,84,84.5,84.5,84.4,84.9,85,84.8,85.7
Azerbaijan,88.6,88.7,90.2,91.8,93.1,93.8,93.8,93.8,93.5,93.4,93,92.9,90.2,87.4,87.3,84,82.4,82.8,83.3,83.6,81.5,81.7,82.6,83,82.8,83,83,84,84.6,84.5
Burundi,96.4,96.4,96.3,96.3,96.3,96.3,96.3,96.2,96.2,96.2,96.2,96.1,96.1,96,96,95.9,95.9,95.8,95.8,95.7,95.7,95.6,95.6,95.5,95.5,95.5,95.6,95.6,95.6,95.7
Belgium,60.7,63,64.2,66.3,67.1,68,68.8,69.6,70.3,72.7,73,70.6,71.8,73,74.2,76.8,77,78,79,79.2,80.4,78.7,79.2,79.7,80.6,80.2,79.9,79.6,80.3,80.3
Benin,61.6,61.5,61.6,62.8,63.9,65.1,66.2,67.3,68.4,69.5,70.6,71.6,72.6,74.6,76.5,78.3,80,81.6,83.1,84.4,85.7,83.4,83.6,83.7,83.9,84.1,84.3,84.5,84.7,84.9
Burkina Faso,84.5,84.3,83.4,82.5,81.5,80.5,79.5,78.4,77.2,76,74.8,73.5,72.2,70.9,69.5,68.1,66.6,67,67.4,67.8,68.1,68.5,68.9,69.3,69.7,69.8,70,70.2,70.4,70.6
Bangladesh,28.9,29.1,29.3,29.6,30,30.4,30.7,31.1,31.5,31.9,32.3,32.6,32.9,33.1,33.4,33.7,33.9,34.5,35.1,35.8,36.4,37,37.7,38.3,39,39.6,40.3,44.9,45.3,45.6
Bulgaria,90.4,90.6,90.9,89.9,88.8,87.6,86.2,84.5,82.7,80.7,78.5,80.2,79.3,77,78,76.6,78.8,80.7,81.3,79.7,79.6,79.3,79.8,80.3,80.2,79.8,78.2,80.5,80.2,81.3
Bahrain,36.1,35.9,36.8,37.6,38.3,39.1,40,40.9,41.7,42.5,43.3,44.2,45.1,46.1,47.1,48.1,49,50.1,51.1,52.3,53.4,52.9,52.9,52.9,52.9,52.9,53.4,54,54.8,55.6
Bahamas,78.7,80.2,81.5,82.8,83.9,84.3,84.5,84.8,85.4,86,86.3,86.5,86.7,86.6,86.6,86.8,87,87,86.9,86.7,86.9,87,87.4,87.5,87.8,88.1,88.4,88.6,88.8,89
Bosnia and Herzegovina,53.9,55.5,56.3,56.4,56.2,55.4,54.7,54.7,54.2,53,52.4,51.9,51.4,51,50.5,47.1,46.8,47,49.8,50.9,52.9,53.5,54.8,55.1,57.8,57.3,57.8,57.4,57.4,58.7
Belarus,86.3,86.5,86.9,87.3,87.9,88.3,88.3,88,87.7,87.5,88,88.5,89,89.4,89.8,90.2,90.6,91,91.3,91.7,92,92.4,92.7,93,93.4,93.7,94,94.7,94.3,94.4
Belize,39.3,40.2,41.1,41.6,41.4,42,42.7,44,45.4,46.7,48.1,49.4,50.8,52.1,53.5,54.8,55.3,55.8,56.3,56.9,57.4,58,58.6,59.2,60.1,61.3,63,61,61.6,62
Bolivia,66.4,66.9,67.1,67.6,68.1,68.6,69,69.4,70.1,70.7,71.3,72,72.6,73.2,73.8,74.3,74.9,72.3,74.7,74.5,74.1,73.7,72.1,71.4,72.3,66.4,69.1,71.1,74.9,75.3
Brazil,48.1,48.4,50.3,52.2,54.1,56,54.7,56,57.1,58.7,60.1,61.5,63.1,63.8,65,66.1,66.2,66.2,66,67.5,66.3,65.2,66.7,67.1,67.5,68.5,68.5,69.7,70.2,71.3
Barbados,83.3,81.2,83,84.2,85.2,86.2,85.9,85.6,85.7,85.8,86,86.2,86.3,86.5,87,87.3,87.5,87.8,88,88.2,87.3,87.6,87.1,87.4,87.3,87.6,87.4,87.6,87.7,87.8
Brunei,56.3,56.5,57.8,59.1,60.4,61.6,62.7,63.7,64.8,65.8,66.8,67.7,68.1,68.5,69,69.5,69.9,70.4,70.8,71.3,71.8,72.3,72.8,73.3,73.8,74.3,74.8,75.2,76,73.1
Bhutan,71.9,71.8,71.8,71.8,71.8,71.8,72.2,72.7,73.2,73.9,74.6,75.4,76.2,77.1,77.9,78.6,79,79.5,79.8,80.2,79.3,78.2,82,75,70,75.1,75.2,75.3,75.3,75.3
